web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/lysistrata-jones-490623,Lysistrata Jones,Dan Knechtges,Lewis Flinn,Douglas Carter Beane,"Paula Herold,Alan Wasser,Joseph Smith,Michael McCabe,John Breglio,Takonkiet Viravan / Scenario Thailand,Hilary A. Williams,Broadway Across AmericaandJames G. Robinson","Nov 12, 2011","Dec 14, 2011","Jan 08, 2012",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-house-of-blue-leaves-489428,The House of Blue Leaves,David Cromer,,John Guare,"Scott Rudin,Stuart Thompson,Jean Doumanian,Mary Lu Roffe / Susan Gallin / Rodger Hess,The Araca Group,Scott M. Delman,Roy Furman,Ruth Hendel,Jon B. PlattandSonia Friedman Productions / Scott Landis","Apr 04, 2011","Apr 25, 2011","Jun 25, 2011",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-little-night-music-485016,A Little Night Music,Trevor Nunn,Stephen Sondheim,Hugh Wheeler,"Thomas Viertel,Steven Baruch,Marc Routh,Richard Frankel,The Menier Chocolate Factory,Roger Berlind,David Babani,Sonia Friedman Productions,Andrew Fell,Jane Bergère / Daryl Roth,Harvey Weinstein / Raise the Roof 3,Beverly Bartner / Dancap Productions,Nica Burns / Max Weitzenhoffer,Eric Falkenstein / Anna Czekaj,Jerry Frankel / Ronald FrankelandJames D. Stern / Douglas L. Meyer","Nov 24, 2009","Dec 13, 2009","Jan 09, 2011",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/irenas-vow-482325,Irena's Vow,Michael Parva,,Dan Gordon,"Power Productions / Stan Raiff,Daryl Roth,Debra Black,James L. Nederlander,Terry Allen KramerandPeter Fine","Mar 10, 2009","Mar 29, 2009","Jun 28, 2009",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-seagull-480037,The Seagull,Ian Rickson,Stephen Warbeck,Anton Chekhov,"Sonia Friedman Productions,Bob Boyett,Robert G. Bartner,Dede Harris,Norman & Steven Tulchin,Fox Theatricals,Dena Hammerstein,Sharon Karmazin,Olympus Theatricals,Spring Sirkin,Tara Smith,Mort Swinsky,Karl Sydow,The Weinstein Company,Falkenstein / deRoy,Florin / HirschhornandGutterman / McGinnis","Sep 16, 2008","Oct 02, 2008","Dec 21, 2008",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-catered-affair-466360,A Catered Affair,John Doyle,John Bucchino,Harvey Fierstein,"Jujamcyn Theaters,Jordan Roth,Harvey Entertainment / Ron Fierstein,Richie Jackson,Daryl Roth,John O'Boyle / Ricky Stevens / Davis-TolentinoandBarbra Russell / Ron Sharpe","Mar 25, 2008","Apr 17, 2008","Jul 27, 2008",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-bronx-tale-466700,A Bronx Tale,Jerry Zaks,,Chazz Palminteri,"Go Productions,John Gaughan,Trent Othick,Matt OthickandNeighborhood Films","Oct 04, 2007","Oct 25, 2007","Feb 24, 2008",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/grey-gardens-426592,Grey Gardens,Michael Greif,Michael Korie,Doug Wright,"East of Doheny,Staunch Entertainment,Randall L. Wreghitt / Mort Swinsky,Michael AldenandEdwin W. Schloss","Oct 03, 2006","Nov 02, 2006","Jul 29, 2007",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/doubt-392488,Doubt,Doug Hughes,,John Patrick Shanley,"Carole Shorenstein Hays,MTC Productions, Inc. (Lynne Meadow, Artistic Director","Mar 09, 2005","Mar 31, 2005","Jul 02, 2006",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/gem-of-the-ocean-386366,Gem of the Ocean,Kenny Leon,,August Wilson,Carole Shorenstein HaysandJujamcyn Theaters (James H. Binger: Chairman,"Nov 23, 2004","Dec 06, 2004","Feb 06, 2005",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/sixteen-wounded-13595,Sixteen Wounded,Garry Hynes,John Gromada,Eliam Kraiem,Jujamcyn Theaters (James H. Binger: Chairman,"Mar 22, 2004","Apr 15, 2004","Apr 25, 2004",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/take-me-out-13460,Take Me Out,Joe Mantello,,Richard Greenberg,Carole Shorenstein HaysandFrederick DeMann,"Feb 04, 2003","Feb 27, 2003","Jan 04, 2004",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/proof-12546,Proof,Daniel Sullivan,,David Auburn,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Oct 10, 2000","Oct 24, 2000","Jan 05, 2003",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-moon-for-the-misbegotten-12486,A Moon for the Misbegotten,Daniel Sullivan,,Eugene O'Neill,"Elliot Martin,Chase Mishkin,Max CooperandJujamcyn Theaters (James H. Binger: Chairman","Mar 07, 2000","Mar 19, 2000","Jul 02, 2000",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/waiting-in-the-wings-10707,Waiting in the Wings,Michael Langham,,Noël Coward,"Alexander H. Cohen,Chase Mishkin,Max Cooper,Leonard SolowayandSteven M. Levy","Dec 03, 1999","Dec 16, 1999","May 28, 2000",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-weir-7301,The Weir,Ian Rickson,,Conor McPherson,"Thomas Viertel,Richard Frankel,Steven Baruch,Marc Routh,Jujamcyn Theaters (James H. Binger: Chairman","Mar 23, 1999","Apr 01, 1999","Nov 28, 1999",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-beauty-queen-of-leenane-4725,The Beauty Queen of Leenane,Garry Hynes,Paddy Cunneen,Martin McDonagh,"Atlantic Theater Company,Randall L. Wreghitt,Chase Mishkin,Steven M. LevyandLeonard Soloway","Apr 14, 1998","Apr 23, 1998","Mar 14, 1999",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/forever-tango-4753,Forever Tango,Luis Bravo,,,"Steven Baruch,Richard Frankel,Thomas Viertel,Marc Routh,Jujamcyn Theaters (James H. Binger: Chairman","Jun 17, 1997","Jun 19, 1997","Aug 02, 1998",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/present-laughter-4805,Present Laughter,Scott Elliott,,Noël Coward,David RichenthalandAnita Waxman,"Oct 25, 1996","Nov 18, 1996","Apr 20, 1997",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/seven-guitars-4271,Seven Guitars,Lloyd Richards,,August Wilson,"Sageworks (Benjamin Mordecai, Executive Producer","Mar 17, 1996","Mar 28, 1996","Sep 08, 1996",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/patti-lupone-on-broadway-4307,Patti LuPone on Broadway,Scott Wittman,,Jeffrey Richman,Jujamcyn Theaters (James H. Binger: Chairman,"Oct 05, 1995","Oct 12, 1995","Nov 25, 1995",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/love-valour-compassion-4284,Love! Valour! Compassion!,Joe Mantello,,Terrence McNally,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Jan 20, 1995","Feb 14, 1995","Sep 17, 1995",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/angels-in-america-perestroika-4587,Angels in America: Perestroika,George C. Wolfe,,Tony Kushner,Jujamcyn Theaters (James H. Binger: Chairman,"Oct 23, 1993","Nov 23, 1993","Dec 04, 1994",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/angels-in-america-millennium-approaches-4569,Angels in America: Millennium Approaches,George C. Wolfe,,Tony Kushner,Jujamcyn Theaters (James H. Binger: Chairman,"Apr 13, 1993","May 04, 1993","Dec 04, 1994",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/two-trains-running-4678,Two Trains Running,Lloyd Richards,,August Wilson,"Yale Repertory Theatre (Stan Wojewodski, Jr., Artistic Director),Center Theatre Group / Ahmanson Theatre (Gordon Davidson, Artistic/Producing Director)andJujamcyn Theaters (James H. Binger: Chairman","Apr 07, 1992","Apr 13, 1992","Aug 30, 1992",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/crazy-he-calls-me-4659,Crazy He Calls Me,John Ferraro,,Abraham Tetenbaum,"Weissman Productions, Inc.andRoger Alan Gindi","Jan 13, 1992","Jan 27, 1992","Feb 01, 1992",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/i-hate-hamlet-4638,I Hate Hamlet,Michael Engler,,Paul Rudnick,Jujamcyn Theaters (James H. Binger: Chairman,"Mar 18, 1991","Apr 08, 1991","Jun 22, 1991",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-piano-lesson-4560,The Piano Lesson,Lloyd Richards,,August Wilson,"Lloyd Richards,Yale Repertory Theatre (Lloyd Richards: Artistic Director","Apr 10, 1990","Apr 16, 1990","Jan 27, 1991",2025-06-26,Creative Team and Performance Data
