web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/skeleton-crew-531761,Skeleton Crew,Ruben Santiago-Hudson,Robert Kaplowitz,Dominique Morisseau,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Dec 27, 2021","Jan 26, 2022","Feb 20, 2022",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/lackawanna-blues-531475,Lackawanna Blues,Ruben Santiago-Hudson,"Bill Sims, Jr.",Ruben Santiago-Hudson,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 14, 2021","Oct 07, 2021","Nov 12, 2021",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/my-name-is-lucy-barton-522382,My Name is Lucy Barton,Richard Eyre,,Elizabeth Strout,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Jan 04, 2020","Jan 15, 2020","Feb 29, 2020",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/the-height-of-the-storm-521241,The Height of the Storm,Jonathan Kent,Gary Yershon,Florian Zeller,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 10, 2019","Sep 24, 2019","Nov 24, 2019",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/ink-518582,Ink,Rupert Goold,Adam Cork,James Graham,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Apr 02, 2019","Apr 24, 2019","Jul 07, 2019",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/choir-boy-517586,Choir Boy,Trip Cullman,Jason Michael WebbandFitz Patton,Tarell Alvin McCraney,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Dec 12, 2018","Jan 08, 2019","Mar 10, 2019",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/the-nap-517583,The Nap,Daniel Sullivan,,Richard Bean,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 05, 2018","Sep 27, 2018","Nov 11, 2018",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/saint-joan-515949,Saint Joan,Daniel Sullivan,,Bernard Shaw,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Apr 03, 2018","Apr 25, 2018","Jun 10, 2018",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/the-children-514184,The Children,James Macdonald,,Lucy Kirkwood,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Nov 28, 2017","Dec 12, 2017","Feb 04, 2018",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/prince-of-broadway-512381,Prince of Broadway,Harold Prince,Jason Robert Brown,David Thompson,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Aug 03, 2017","Aug 24, 2017","Oct 29, 2017",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/the-little-foxes-508257,The Little Foxes,Daniel Sullivan,,Lillian Hellman,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Mar 29, 2017","Apr 19, 2017","Jul 02, 2017",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/jitney-507859,Jitney,Ruben Santiago-Hudson,,August Wilson,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Dec 28, 2016","Jan 19, 2017","Mar 12, 2017",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/heisenberg-504820,Heisenberg,Mark Brokaw,,Simon Stephens,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 20, 2016","Oct 13, 2016","Dec 11, 2016",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/the-father-502234,The Father,Doug Hughes,,Florian Zeller,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Mar 22, 2016","Apr 14, 2016","Jun 19, 2016",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/our-mothers-brief-affair-500158,Our Mother's Brief Affair,Lynne Meadow,,Richard Greenberg,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Dec 28, 2015","Jan 20, 2016","Mar 06, 2016",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/fool-for-love-498865,Fool for Love,Daniel Aukin,,Sam Shepard,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 15, 2015","Oct 08, 2015","Dec 13, 2015",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/airline-highway-497979,Airline Highway,Joe Mantello,Fitz Patton,Lisa D'Amour,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Apr 01, 2015","Apr 23, 2015","Jun 07, 2015",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
