web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/four-baboons-adoring-the-sun-4666,Four Baboons Adoring the Sun,Peter Hall,,John Guare,Lincoln Center Theater (André Bishop: Artistic Director,"Feb 22, 1992","Mar 18, 1992","Apr 19, 1992",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/monster-in-a-box-4628,Monster in a Box,Reneé Shafransky,,Spalding Gray,Lincoln Center Theater (Gregory Mosher: Director,"Jan 21, 1991","Jan 21, 1991","May 27, 1991",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/six-degrees-of-separation-4622,Six Degrees of Separation,Jerry Zaks,,John Guare,Lincoln Center Theater (Gregory Mosher: Director,"Oct 30, 1990","Nov 08, 1990","Jan 05, 1992",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/some-americans-abroad-4325,Some Americans Abroad,Roger Michell,,Richard Nelson,Lincoln Center Theater (Gregory Mosher: Director,"Apr 25, 1990","May 02, 1990","Jun 17, 1990",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-tenth-man-4260,The Tenth Man,Ulu Grosbard,,Paddy Chayefsky,Lincoln Center Theater (Gregory Mosher: Director,"Nov 10, 1989","Dec 10, 1989","Jan 14, 1990",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/anything-goes-4483,Anything Goes,Jerry Zaks,Cole Porter,"Guy Bolton,P. G. Wodehouse,Howard LindsayandRussel Crouse",Lincoln Center Theater (Gregory Mosher: Director,"Sep 11, 1987","Oct 19, 1987","Sep 03, 1989",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-comedy-of-errors-4471,The Comedy of Errors,Robert Woodruff,,William Shakespeare,Lincoln Center Theater (Gregory Mosher: Director,"May 12, 1987","May 31, 1987","Jul 26, 1987",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-regard-of-flight-4453,The Regard of Flight,,,Bill Irwin,Lincoln Center Theater (Gregory Mosher: Director,"Apr 07, 1987","Apr 12, 1987","Apr 26, 1987",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/death-and-the-kings-horseman-4441,Death and the King's Horseman,Wole Soyinka,,Wole Soyinka,Lincoln Center Theater (Gregory Mosher: Director,"Feb 13, 1987","Mar 01, 1987","Mar 29, 1987",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-front-page-4432,The Front Page,Jerry Zaks,,Charles MacArthurandBen Hecht,Lincoln Center Theater (Gregory Mosher: Director,"Oct 31, 1986","Nov 23, 1986","Jan 11, 1987",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-house-of-blue-leaves-4411,The House of Blue Leaves,Jerry Zaks,,John Guare,Lincoln Center Theater (Gregory Mosher: Director,"Apr 29, 1986","Apr 29, 1986","Mar 15, 1987",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
