web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/allegro-1787,Allegro,Agnes de Mille,Oscar Hammerstein II,Oscar Hammerstein II,"The Theatre Guild (Theresa Helburn, Lawrence Langner: Administrative Directors)","Oct 10, 1947","Oct 10, 1947","Jul 10, 1948",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/call-me-mister-1786,Call Me Mister,Robert H. Gordon,Harold Rome,,Melvyn DouglasandHerman Levin,"Apr 18, 1946","Apr 18, 1946","Jan 10, 1948",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/alice-in-wonderland-1542,Alice in Wonderland,,Richard Addinsell,Eva Le GallienneandFlorida Friebus,Rita HassanandThe American Repertory Theatre,"Apr 05, 1947","Apr 05, 1947","Jun 28, 1947",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-mayor-of-zalemea-1759,The Mayor of Zalemea,,,Calderón,Readers Theater Inc.andHenry G. Alsberg,"Dec 27, 1945","Dec 27, 1945",Dec 1945,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/oedipus-rex-1753,Oedipus Rex,,,Sophocles,"Readers Theater Inc.,James Light,Joel W. SchenkerandHenry G. Alsberg","Dec 16, 1945","Dec 16, 1945",Dec 1945,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/carousel-1694,Carousel,Rouben Mamoulian,Oscar Hammerstein II,Oscar Hammerstein II,"The Theatre Guild (Theresa Helburn, Lawrence Langner: Administrative Directors)","Apr 19, 1945","Apr 19, 1945","May 24, 1947",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/mexican-hayride-1386,Mexican Hayride,,Cole Porter,Herbert FieldsandDorothy Fields,Michael Todd,"Jan 28, 1944","Jan 28, 1944","Mar 17, 1945",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/star-time-1430,Star Time,Macklin Megley,,,Paul Small,"Sep 12, 1944","Sep 12, 1944","Dec 09, 1944",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/dream-with-music-1427,Dream With Music,Richard Kollmar,Edward Eager,"Sidney Sheldon,Dorothy KilgallenandBen Roberts",Richard Kollmar,"May 18, 1944","May 18, 1944","Jun 10, 1944",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-merry-widow-1302,The Merry Widow,,Adrian Ross,Sidney SheldonandBen Roberts,Yolanda Mero-IrianandThe New Opera Company,"Aug 04, 1943","Aug 04, 1943","May 06, 1944",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/junior-miss-1136,Junior Miss,,,Jerome ChodorovandJoseph Fields,Max Gordon,"Nov 18, 1941","Nov 18, 1941","Jul 24, 1943",2025-06-26,Creative Team and Performance Data
