web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/black-to-the-future-508588,Black to the Future,,,Lewis Black,James L. Nederlander,"Sep 12, 2016","Sep 12, 2016","Oct 24, 2016",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/on-your-feet-497820,On Your Feet!,Jerry Mitchell,Gloria EstefanandEmilio Estefan,Alexander Dinelaris,"James L. Nederlander,Estefan Enterprises, Inc.,Bernie Yuman,Roy Furman,Terry Allen Kramer,Catherine Adler,Caiola Productions,REG • Grove,IPN / Albert Nocciolino,Stewart F. Lane / Bonnie Comley,Pittsburgh CLO,Eva Price,Iris Smith,Broadway Across America,Larry Hirschhorn / Double Gemini Productions,Marc David Levine / Burnt Umber ProductionsandStella La Rue / Lawrence S. Toppall","Oct 05, 2015","Nov 05, 2015","Aug 20, 2017",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/penn-teller-on-broadway-500015,Penn & Teller On Broadway,John Rando,,Penn & Teller,"Marc Routh,Richard Frankel,Tom Viertel,Steven Baruch,Jason Van EmanandBen McConley","Jul 07, 2015","Jul 12, 2015","Aug 16, 2015",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/the-illusionists--witness-the-impossible-497602,The Illusionists - Witness the Impossible,Neil Dorward,Evan Jolly,,"Simon Painter,Tim Lawson,MagicSpace Entertainment,Road Show Theatrical,The Production OfficeandJonathan Sanford","Nov 26, 2014","Dec 04, 2014","Jan 04, 2015",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/il-divo--a-musical-affair-495272,Il Divo - A Musical Affair,Brian Burke,,,,"Nov 07, 2013","Nov 07, 2013","Nov 13, 2013",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/jekyll-hyde-493330,Jekyll & Hyde,Jeff Calhoun,Leslie Bricusse,Leslie Bricusse,"Nederlander Presentations, Inc.,Independent Presenters Network,Chunsoo Shin,Luigi CaiolaandStewart F. Lane / Bonnie Comley","Apr 05, 2013","Apr 18, 2013","May 12, 2013",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/evita-491036,Evita,Michael Grandage,Tim Rice,,"Hal Luftig,Scott Sanders Productions,Roy Furman,Yasuhiro Kawana,Allan S. Gordon / Adam S. Gordon,James L. Nederlander,Terry Allen Kramer,Gutterman Fuld Chernoff / Pittsburgh CLO,Thousand Stars Productions,Adam Blanshay,Adam Zotovich,Robert Ahrens,Stephanie P. McClelland,Carole L. Haber,Ricardo Hornos,Carol R. Fineman,Brian SmithandWarren & Jâlé Trepp","Mar 12, 2012","Apr 05, 2012","Jan 26, 2013",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/follies-490537,Follies,Eric Schaeffer,Stephen Sondheim,James Goldman,"The John F. Kennedy Center for the Performing Arts (David M. Rubenstein, Chairman","Aug 07, 2011","Sep 12, 2011","Jan 22, 2012",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/wonderland-488710,Wonderland,Gregory Boyd,Jack Murphy,Gregory BoydandJack Murphy,"David A. Straz, Jr. Center for the Performing Arts (Judy Lisi, President and CEO),Franzblau Media Inc.,Nederlander Presentations, Inc.,The Knights of Tampa Bay (David Scher and Hinks Shimberg),Michael Speyer & Bernie Abrams,Jay H. Harris,Larry & Kay Payton,June & Tom SimpsonandIndependent Presenters Network","Mar 21, 2011","Apr 17, 2011","May 15, 2011",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/donny-marie-489069,Donny & Marie,Barry Lather,,,"Gregory Young,Jon B. Platt,Magic Arts & EntertainmentandNewspace Entertainment","Dec 09, 2010","Dec 09, 2010","Jan 02, 2011",2025-06-26,Creative Team and Performance Data,Marquis Theatre
